trialKeys,levelFreq,levelFace,lCueName,rCueName,srespLoc,srespChoice,RT,Hand,blockType,subjectId
AbHa,LF,1,Hasan,Abbas,right,Abbas,0.67245,Left,same,sub1
MahGol,LF,3,Goli,Mahnaz,right,Mahnaz,2.1578624,Left,same,sub1
AbHa,LF,-3,Hasan,Abbas,right,Abbas,1.1103351,Left,same,sub1
AbHa,LF,0,Hasan,Abbas,right,Abbas,0.6769219,Left,same,sub1
MahGol,LF,0,Goli,Mahnaz,right,Mahnaz,0.9703473,Left,same,sub1
MahGol,LF,-1,Goli,Mahnaz,right,Mahnaz,0.589688499999998,Left,same,sub1
MahGol,LF,-1,Goli,Mahnaz,right,Mahnaz,0.450780399999999,Left,same,sub1
MahGol,LF,1,Goli,Mahnaz,right,Mahnaz,0.7977141,Left,same,sub1
MahGol,LF,2,Goli,Mahnaz,left,Goli,0.801868799999998,Left,same,sub1
AbHa,LF,1,Hasan,Abbas,left,Hasan,1.002091,Left,same,sub1
MahGol,LF,-3,Goli,Mahnaz,right,Mahnaz,0.454054500000005,Left,same,sub1
MahGol,LF,1,Goli,Mahnaz,right,Mahnaz,0.914988999999998,Left,same,sub1
AbHa,LF,1,Hasan,Abbas,left,Hasan,0.940528299999997,Left,same,sub1
AbHa,LF,-2,Hasan,Abbas,right,Abbas,0.766913099999996,Left,same,sub1
AbHa,LF,-2,Hasan,Abbas,right,Abbas,1.0869051,Left,same,sub1
MahGol,LF,-2,Goli,Mahnaz,right,Mahnaz,0.514299699999995,Left,same,sub1
AbHa,LF,-1,Hasan,Abbas,left,Hasan,0.792284500000001,Left,same,sub1
MahGol,LF,-3,Goli,Mahnaz,right,Mahnaz,0.415154900000005,Left,same,sub1
MahGol,LF,-3,Goli,Mahnaz,right,Mahnaz,0.384963400000004,Left,same,sub1
MahGol,LF,-3,Goli,Mahnaz,right,Mahnaz,0.349243600000001,Left,same,sub1
MahGol,LF,3,Goli,Mahnaz,left,Goli,0.7169813,Left,same,sub1
MahGol,LF,-1,Goli,Mahnaz,right,Mahnaz,0.441373800000001,Left,same,sub1
AbHa,LF,1,Hasan,Abbas,left,Hasan,1.28379460000001,Left,same,sub1
AbHa,LF,-2,Hasan,Abbas,right,Abbas,0.790894899999998,Left,same,sub1
MahGol,LF,-1,Goli,Mahnaz,right,Mahnaz,0.518270200000003,Left,same,sub1
AbHa,LF,2,Hasan,Abbas,left,Hasan,0.681457399999999,Left,same,sub1
MahGol,LF,1,Goli,Mahnaz,right,Mahnaz,0.400465400000002,Left,same,sub1
MahGol,LF,2,Goli,Mahnaz,right,Mahnaz,0.618004900000003,Left,same,sub1
MahGol,LF,-2,Goli,Mahnaz,right,Mahnaz,0.634539600000011,Left,same,sub1
MahGol,LF,0,Goli,Mahnaz,right,Mahnaz,0.335314999999994,Left,same,sub1
AbHa,LF,1,Hasan,Abbas,left,Hasan,0.524086600000004,Left,same,sub1
AbHa,LF,0,Hasan,Abbas,left,Hasan,0.7786124,Left,same,sub1
MahGol,LF,3,Goli,Mahnaz,right,Mahnaz,0.965816500000003,Left,same,sub1
AbHa,LF,-2,Hasan,Abbas,right,Abbas,0.449364000000003,Left,same,sub1
MahGol,LF,-2,Goli,Mahnaz,right,Mahnaz,0.283019199999998,Left,same,sub1
AbHa,LF,3,Hasan,Abbas,left,Hasan,0.403538400000002,Left,same,sub1
MahGol,LF,3,Goli,Mahnaz,right,Mahnaz,0.662781700000011,Left,same,sub1
AbHa,LF,1,Hasan,Abbas,left,Hasan,0.437284300000002,Left,same,sub1
MahGol,LF,-1,Goli,Mahnaz,right,Mahnaz,0.65294320000001,Left,same,sub1
MahGol,LF,2,Goli,Mahnaz,right,Mahnaz,0.824829100000002,Left,same,sub1
